Product Name,Salt Composition,M.R.P.,Company
DEWDERM AD CREAM 30GM,NEEDS_VERIFICATION,164.65,A.MENARINI(DERMA)
DEWDERM AD LOTION 200ML,NEEDS_VERIFICATION,600.75,A.MENARINI(DERMA)
DEWDERM AD LOTION 50ML,NEEDS_VERIFICATION,245.20,A.MENARINI(DERMA)
MELALUMIN CREAM 20GM,Arbutin + Kojic Acid + Mulberry Extract + Octadecenedioic Acid,560.00,A.MENARINI(DERMA)
MELALUMIN FACE WASH 60ML,NEEDS_VERIFICATION,284.80,A.MENARINI(DERMA)
OLEMESSA MASEG 200 OIL 200ML,NEEDS_VERIFICATION,298.15,A.MENARINI(DERMA)
HYDE CREAM 30GM,Hydroquinone,127.50,A.MENARINI(DERMA)
HYDE SOLUTION 50ML,Hydroquinone,97.50,A.MENARINI(DERMA)
DEWDERM AD BODY WASH 100M,NEEDS_VERIFICATION,275.90,A.MENARINI(DERMA)
SALYTAR-T SOAP 100G,Coal Tar + Salicylic Acid,81.86,A.MENARINI(DERMA)
SALYTAR SOLUTION 100ML,Coal Tar + Salicylic Acid,177.97,A.MENARINI(DERMA)
U.V AVO LOTION 75GM,Avobenzone + Octinoxate + Oxybenzone (sunscreen filters),540.00,A.MENARINI(DERMA)
A-RET 0.025 GEL 20GM,"Tretinoin (0.025%, 0.05%, 0.1%)",120.00,A.MENARINI(DERMA)
A-RET 0.05 GEL 20GM,"Tretinoin (0.025%, 0.05%, 0.1%)",170.00,A.MENARINI(DERMA)
U.V.AVO PRO 50SPF GEL 50GR,NEEDS_VERIFICATION,975.00,A.MENARINI(DERMA)
A-RET 0.1GEL 20GM,"Tretinoin (0.025%, 0.05%, 0.1%)",205.00,A.MENARINI(DERMA)
HEXIMAR OINTMENT 15GM,NEEDS_VERIFICATION,395.63,A.MENARINI(DERMA)
PODOWART PAINT 10ML,Podophyllin Resin,292.50,A.MENARINI(DERMA)
ACNELAK UV CREAM 30GM,Avobenzone + Octisalate + Oxybenzone,311.50,A.MENARINI(DERMA)
SALYTAR OINTMENT 15GM,Salicylic Acid + Coal Tar + Sulphur,69.38,A.MENARINI(DERMA)
U.V.DEW 15 PLUS LOTION 30GM,NEEDS_VERIFICATION,106.80,A.MENARINI(DERMA)
U.V.DEW 34 PLUS LOTION 30GM,NEEDS_VERIFICATION,179.78,A.MENARINI(DERMA)
SALEX-L SOLUT 10ML,Salicylic Acid + Lactic Acid,165.00,A.MENARINI(DERMA)
GLYAHA KOJ SOAP 75GM,Glycolic Acid + Kojic Acid,222.46,A.MENARINI(DERMA)
U.V.AVO LOTION 75GM,Avobenzone + Octinoxate + Oxybenzone (sunscreen filters),565.00,A.MENARINI(DERMA)
MELALUMIN ULTRA COMBO KIT CREA,NEEDS_VERIFICATION,385.37,A.MENARINI(DERMA)
MENROX HYDRATING CLEANSER 100G,NEEDS_VERIFICATION,382.70,A.MENARINI(DERMA)
MENROX NOURISHING MOISTUR.100G,NEEDS_VERIFICATION,356.00,A.MENARINI(DERMA)
MENROX SUNSCREEN SPF30+50G TUB,NEEDS_VERIFICATION,507.30,A.MENARINI(DERMA)
U.V.AVO JUNIOR 50GM,NEEDS_VERIFICATION,525.10,A.MENARINI(DERMA)
PODOWART-S PAINT 10ML,Podophyllin + Salicylic Acid,298.13,A.MENARINI(DERMA)
HEXILAK ULTRA C 20GM,NEEDS_VERIFICATION,525.10,A.MENARINI(DERMA)
A-RET HC CREAM 15GM,"Tretinoin (0.025%, 0.05%, 0.1%)",184.69,A.MENARINI(DERMA)
HEXILAK ACNE+SCAR SERUM 15G,NEEDS_VERIFICATION,925.00,A.MENARINI(DERMA)
MELALUMIN LIP LIGHTENER 10GM,NEEDS_VERIFICATION,395.00,A.MENARINI(DERMA)
BNC NEO DROP 15ML,NEEDS_VERIFICATION,65.00,AGLOWMED LTD.
CURA 50DS SYRUP 15G 30ML,Cefpodoxime Proxetil,109.88,AGLOWMED LTD.
AGLOZYME CAPS 10'S,Fungal Diastase + Pepsin,85.31,AGLOWMED LTD.
GLOBIRON SYP. 200ML,Ferric Ammonium Citrate + Folic Acid + Cyanocobalamin,110.63,AGLOWMED LTD.
AGLOZYME SYP.200ML,Fungal Diastase + Pepsin,140.51,AGLOWMED LTD.
PANOPAZ INJ I.V 40MG 1,Pantoprazole,42.42,AGLOWMED LTD.
AGLOZYME DROPS 15 ML,Fungal Diastase + Pepsin,103.23,AGLOWMED LTD.
CURA TAB 200MG 10'S,Cefixime,234.82,AGLOWMED LTD.
COTEN SOFTGEL CAP 200MG 10'S,Coenzyme Q10,338.20,AGLOWMED LTD.
CURA TAB 100DT 1*10'S,Cefpodoxime Proxetil,138.75,AGLOWMED LTD.
CHYMOFLAM FORTE TAB 10'S,Trypsin Chymotrypsin (Apollo Pharmacy),203.16,AGLOWMED LTD.
CHYMOFLAM MR TAB 1*10'S,Trypsin Chymotrypsin + Diclofenac + Paracetamol,249.56,AGLOWMED LTD.
CHYMOFLAM GEL 50GM,Diclofenac + Linseed Oil + Methyl Salicylate + Menthol,164.06,AGLOWMED LTD.
PIOLAX SYRUP 200ML,Lactulose,283.59,AGLOWMED LTD.
ZOTUM 1.5GM VAIL INJ,Cefuroxime + Sulbactam,355.68,AGLOWMED LTD.
ZOTUM 500 TAB 10S,Cefuroxime Axetil,395.83,AGLOWMED LTD.
BNC KIDS SYP 150ML,NEEDS_VERIFICATION,151.27,AGLOWMED LTD.
ZOTUM 250MG TAB 10'S,Cefuroxime Axetil,225.43,AGLOWMED LTD.
PANCEF 1GM,Ceftriaxone,64.54,AGLOWMED LTD.
GLOBIRON Z SYP.200ML,Ferric Ammonium Citrate + Folic Acid + Cyanocobalamin + Zinc Sulphate,79.69,AGLOWMED LTD.
OFLAMED OZ TABS 10'S,Ofloxacin + Ornidazole,105.94,AGLOWMED LTD.
AGLOZYME C SYP 200ML,Fungal Diastase + Pepsin,141.80,AGLOWMED LTD.
INSTACODIN SYP 100ML.,Terbutaline + Bromhexine + Guaifenesin + Menthol,85.36,AGLOWMED LTD.
CHYMOFLAM TAB 10'S,Aceclofenac + Paracetamol,148.40,AGLOWMED LTD.
LIZOMED C TAB 10'S,Linezolid + Cefixime,356.25,AGLOWMED LTD.
AGLOZYME JR. SYRUP 60ML,Fungal Diastase + Pepsin,96.42,AGLOWMED LTD.
CHYMOSPAS TAB 10S,Drotaverine + Mefenamic Acid (Apollo Pharmacy),74.06,AGLOWMED LTD.
CURA 100MG DRY SYRUP 30ML,Cefixime,186.66,AGLOWMED LTD.
CURA DRY SYRUP 30ML,Cefpodoxime Proxetil,76.31,AGLOWMED LTD.
PANCEF 500MG INJ.,Ceftriaxone,52.54,AGLOWMED LTD.
PANCEF 250MG INJ.,Ceftriaxone,28.75,AGLOWMED LTD.
PIPACIN-XP INJ,Piperacillin + Tazobactam,419.35,AGLOWMED LTD.
CHYMOFLAM AP+ TAB 10'S,Aceclofenac + Paracetamol + Trypsin-Chymotrypsin,175.00,AGLOWMED LTD.
AGLOFIT POWDER 200GM,Protein Hydrolysate + Multivitamins + Multiminerals,382.63,AGLOWMED LTD.
PRB SUSP 5ML 10S 10S,Probiotic Blend,42.19,AGLOWMED LTD.
PIO AF OINTMENT 30G,NEEDS_VERIFICATION,201.09,AGLOWMED LTD.
BNC NEO DROPS 30ML,Multivitamins (Vitamin B Complex + Vitamin C + Vitamin D),160.00,AGLOWMED LTD.(Radiance)
BNC CAPS 15'S,Vitamin B Complex + Vitamin C,115.00,AGLOWMED LTD.(Radiance)
INSTARYL EXPT.100ML,Ambroxol + Guaifenesin + Terbutaline,52.59,AGLOWMED LTD.(Radiance)
CLOMPIC CV 625 TABS,Amoxicillin + Clavulanic Acid (1mg),192.05,AGLOWMED LTD.(Radiance)
BNC PR SOFGEL TAB 10,Methylcobalamin + Alpha Lipoic Acid + Pyridoxine + Folic Acid,210.94,AGLOWMED LTD.(Radiance)
CLOMPIC CV DRY SYP 30ML,Amoxicillin + Clavulanic Acid,63.32,AGLOWMED LTD.(Radiance)
CLOMPIC CV FORTE 457 DRY SYP 1,Amoxicillin + Clavulanic Acid,106.88,AGLOWMED LTD.(Radiance)
INSTALAST TAB 10'S,Levocetirizine + Montelukast (1mg),74.53,AGLOWMED LTD.(Radiance)
PANOPAZ D CAP 10'S,Pantoprazole + Domperidone,84.84,AGLOWMED LTD.(Radiance)
MPOWERVIT TAB 10'S,NEEDS_VERIFICATION,360.00,AGLOWMED LTD.(Radiance)
INSTARYL-D JUNIOR SYRUP 60ML,Dextromethorphan + Phenylephrine + Chlorpheniramine,77.34,AGLOWMED LTD.(Radiance)
LIZOMED-XL DRY SYRUP 60ML,Linezolid,243.75,AGLOWMED LTD.(Radiance)
NOSOBAC-XP INJ 1.5GM,Cefoperazone + Sulbactam,193.13,AGLOWMED LTD.(Radiance)
PANCEF O DRY 50MG SYP.30ML,Cefixime + Ofloxacin,51.92,AGLOWMED LTD.(Radiance)
PANCEF O 200MG TABS 10'S,Cefixime + Ofloxacin,111.33,AGLOWMED LTD.(Radiance)
PANCEF O DT 100MG TABS 10'S,Cefixime,119.11,AGLOWMED LTD.(Radiance)
INSTARYL P SYP.100ML,Paracetamol + Phenylephrine + Chlorpheniramine,116.53,AGLOWMED LTD.(Radiance)
LIZOMED 600MG TABS 4'S,Linezolid,374.43,AGLOWMED LTD.(Radiance)
INSTARYL D SF SYP.100ML,Dextromethorphan + Phenylephrine + Chlorpheniramine,122.41,AGLOWMED LTD.(Radiance)
LIZOMED DRY SYP 30ML,Linezolid,154.69,AGLOWMED LTD.(Radiance)
BNC SYP 200ML.,NEEDS_VERIFICATION,177.08,AGLOWMED LTD.(Radiance)
GLOBIRON XT TAB 10'S,Ferrous Ascorbate + Folic Acid (MIMS),129.38,AGLOWMED LTD.(Radiance)
GLOBIRON XT SYP 150ML.,Ferrous Ascorbate + Folic Acid (MIMS),167.06,AGLOWMED LTD.(Radiance)
INSTARYL LS SYP 100ML,Levosalbutamol + Ambroxol + Guaifenesin,105.94,AGLOWMED LTD.(Radiance)
PANCEF OF TAB 10,Cefixime + Ofloxacin,164.06,AGLOWMED LTD.(Radiance)
PANCEF O 100MG DRY SYP 30ML,Cefixime,76.27,AGLOWMED LTD.(Radiance)
POWERVIT TAB 10'S,Multivitamins + Multiminerals,215.00,AGLOWMED LTD.(Radiance)
UROFLAMED TAB 10S,Flavoxate + Potassium Magnesium Citrate,203.16,AGLOWMED LTD.(Radiance)
INSTARYL-LS DROPS 15ML,Levosalbutamol + Ambroxol + Guaiphenesin,77.14,AGLOWMED LTD.(Radiance)
INSTARYL-DR SYRUP 100ML,Dextromethorphan + Chlorpheniramine,63.75,AGLOWMED LTD.(Radiance)
LIZOMED 300MG TAB 10S,Linezolid,237.72,AGLOWMED LTD.(Radiance)
LIZOMED INJ.IV 600ML,Linezolid,463.97,AGLOWMED LTD.(Radiance)
INSTARYL-LS JUNIOR 60ML,Levosalbutamol + Ambroxol + Guaiphenesin,97.56,AGLOWMED LTD.(Radiance)
PIO OINTMENT 30G,NEEDS_VERIFICATION,304.22,AGLOWMED LTD.(Radiance)
PANCEF S 1500MG INJ,Cefoperazone + Sulbactam,199.08,AGLOWMED LTD.(Radiance)
AZIPOS 500MG TAB 5'S,Azithromycin (1mg),104.65,AGLOWMED LTD.(Radiance)
INSTALAST SUSP. 60ML,Levocetirizine + Montelukast,87.14,AGLOWMED LTD.(Radiance)
AKSICEF 500MG TAB 6S,Cefuroxime Axetil,309.38,AKSIGEN HOSPITAL CARE
ORALIXIR MOUTHWASH 200ML,Chlorhexidine Gluconate,196.88,AKSIGEN HOSPITAL CARE
AKSIPROL OD TAB 10'S,Aceclofenac + Rabeprazole,328.13,AKSIGEN HOSPITAL CARE
BROMOZYME DT TAB,Bromelain + Trypsin + Rutoside,117.19,AKSIGEN HOSPITAL CARE
FLEXTOR SACHET 12GM,Glucosamine + Chondroitin + Collagen Peptides,87.22,AKSIGEN HOSPITAL CARE
OSEDRATE TAB 10'S,Ondansetron,159.84,AKSIGEN HOSPITAL CARE
CISSQ TAB 10'S,Coenzyme Q10,156.75,AKSIGEN HOSPITAL CARE
CISSQ PLUS TAB 10'S,Coenzyme Q10 + L-Carnitine + Lycopene + Zinc,278.44,AKSIGEN HOSPITAL CARE
SILVERSTREAM 100ML,Silver Nitrate,"2,015.63",AKSIGEN HOSPITAL CARE
QUSTAIN P 1000MG TAB 12S,Paracetamol,56.25,AKSIGEN HOSPITAL CARE
AKSITRAM EF 1*1,Ceftriaxone + Sulbactam,37.50,AKSIGEN HOSPITAL CARE
UCMOVE CAP 10,Glucosamine + Chondroitin + Methylsulfonylmethane,784.28,AKSIGEN HOSPITAL CARE
SILVERSTREAM 250ML,Silver Nitrate,"3,937.50",AKSIGEN HOSPITAL CARE
IBAXIT-XR 80MG TAB 10S,Febuxostat,148.13,ALEMBIC   pharma ltd summit
TELLZY 80MG TAB 15'S 10,Telmisartan,166.63,ALEMBIC   pharma ltd summit
ALTORAN CH 25 MG TAB,Chlorthalidone,111.89,ALEMBIC   pharma ltd summit
AGINAL 5MG,Norethisterone,25.70,ALEMBIC   pharma ltd summit
TELLZY-ACH 40/5/12.50 TAB 10'S,Telmisartan + Amlodipine + Chlorthalidone,174.56,ALEMBIC   pharma ltd summit
TELLZY-ACH 80/5/12.50 TAB 10'S 15,Telmisartan + Amlodipine + Chlorthalidone,217.73,ALEMBIC   pharma ltd summit
TELLZY-ACH 40/5/6.25 TAB 10'S,Telmisartan + Amlodipine + Chlorthalidone,140.25,ALEMBIC   pharma ltd summit
TELLZY-ACH 80/5/6.25 TAB 10'S,Telmisartan + Amlodipine + Chlorthalidone,154.64,ALEMBIC   pharma ltd summit
VOAGE GM 1MG TAB 10'S,Glimepiride + Metformin + Dapagliflozin,130.41,ALEMBIC   pharma ltd summit
VOAGE GM 2MG TAB 10'S,Glimepiride + Metformin + Dapagliflozin,130.41,ALEMBIC   pharma ltd summit
TELLZY LN 40MG TAB 15'S,Telmisartan + Cilnidipine,229.64,ALEMBIC   pharma ltd summit
TELLZY LN 80MG TAB 10'S,Telmisartan + Cilnidipine,185.91,ALEMBIC   pharma ltd summit
VITARESP CAP10,Multivitamins + Multiminerals + Antioxidants,84.38,ALEMBIC   pharma ltd summit
TELLZY 40 TAB,Telmisartan,108.31,ALEMBIC   pharma ltd summit
TELLZY 20 MG TAB 1*10,Telmisartan,62.57,ALEMBIC   pharma ltd summit
ATECARD -AM TAB 1*14,Atenolol + Amlodipine,150.70,ALEMBIC   pharma ltd summit
TELLZY CH 40 TAB 10'S,Telmisartan + Chlorthalidone,341.45,ALEMBIC   pharma ltd summit
ATECARD 25 10S,Atenolol,58.92,ALEMBIC   pharma ltd summit
ATECARD 50 10S,Atenolol,34.88,ALEMBIC   pharma ltd summit
TELLZY MT 50 TAB 15S,Telmisartan + Metoprolol Succinate,400.22,ALEMBIC   pharma ltd summit
ATECARD D TAB 15'S,Atenolol + Hydrochlorothiazide,96.28,ALEMBIC   pharma ltd summit
TELLZY CH 80 TAB 10 S,Telmisartan + Chlorthalidone,381.84,ALEMBIC   pharma ltd summit
TELLZY MT 25MG TABS,Telmisartan + Metoprolol Succinate,329.06,ALEMBIC   pharma ltd summit
TELLZY 80 AM TAB 10S,Telmisartan + Amlodipine,437.16,ALEMBIC   pharma ltd summit
VOAGE-S 15MG TAB 10'S,Dapagliflozin,258.47,ALEMBIC   pharma ltd summit
TELLZY RS TAB 15,Telmisartan + Rosuvastatin,457.64,ALEMBIC   pharma ltd summit
IBAXIT-XR 40 MG TAB 10S,Febuxostat,120.61,ALEMBIC   pharma ltd summit
VOAGE-M 10/1000MG TAB 10'S,Dapagliflozin + Metformin,146.53,ALEMBIC   pharma ltd summit
VOAGE-M 10/500MG TAB 10'S,Dapagliflozin + Metformin,146.91,ALEMBIC   pharma ltd summit
VOAGE-M 5/1000MG TAB 10'S,Dapagliflozin + Metformin,92.39,ALEMBIC   pharma ltd summit
GLIPY OD 100SR TAB 15'S 15S,Vildagliptin,221.53,ALEMBIC   pharma ltd summit
VOAGE MS 1000MG TAB 1*15,Metformin,354.09,ALEMBIC   pharma ltd summit
VOAGE MS 500MG TAB 1*15,Metformin,320.39,ALEMBIC   pharma ltd summit
MIRUMIGEST 10 TAB 10S,Dydrogesterone,719.20,ALEMBIC -ALCARE
PROTINULES CHOCLATE POW.200GM,Protein Supplement,468.14,ALEMBIC -ALCARE
HERMIN IV INFUSION 1*200ML,Iron Sucrose,876.00,ALEMBIC -ALCARE
OVICAB TAB 10 10S,NEEDS_VERIFICATION,209.00,ALEMBIC -ALCARE
MIFENTI 1 CAP 1,Mifepristone,209.63,ALEMBIC -ALCARE
PROTINULES BUUTER 200GM,Protein Supplement,283.91,ALEMBIC -ALCARE
GESTOFIT INJ.100MG/ML,Progesterone,155.63,ALEMBIC -ALCARE
HERMIN FORTE CAP 10'S,L-Methylfolate + Methylcobalamin + Pyridoxine,147.19,ALEMBIC -ALCARE
PROTINULES PL 200GR,Protein Supplement,425.42,ALEMBIC -ALCARE
RICHAR XT TAB 10'S,Ferrous Ascorbate + Folic Acid,78.52,ALEMBIC -ALCARE
RICHAR CR 75MG TABS 10'S,Elemental Iron + Folic Acid,195.00,ALEMBIC -ALCARE
RICHAR-XT SUSP. 150ML,Ferrous Ascorbate + Folic Acid,101.25,ALEMBIC -ALCARE
HERMIN ORAL SACHET 1*5GM,Elemental Iron + Folic Acid,77.81,ALEMBIC -ALCARE
RICHAR CR 100MG TAB 10S,Elemental Iron + Folic Acid,183.37,ALEMBIC -ALCARE
GESTOFIT 200 CAPS,Progesterone,312.75,ALEMBIC -ALCARE
CLOSTOP SRX 10 TAB 10S,Clobazam,424.22,ALEMBIC -ALCARE
RICHAR CR SYRUP 150ML,Ibuprofen + Paracetamol,254.48,ALEMBIC -ALCARE
RUMIGEST CAP 10S,Progesterone,533.81,ALEMBIC -ALCARE
HERMIN D3 SACHET,Cholecalciferol,42.19,ALEMBIC -ALCARE
DUABIT 60 CAP 7S,Duloxetine,127.97,ALEMBIC ( OSTEOFID )
GERIJOINT CAP 10'S,Glucosamine + Diacerein + Methylsulfonylmethane,599.00,ALEMBIC ( OSTEOFID )
COBUILT PLUS TAB 14S,Calcium + Vitamin D3 + Magnesium + Zinc,420.00,ALEMBIC ( OSTEOFID )
OSTEOFIT HD TAB 15'S,Calcium Carbonate + Vitamin D3,442.83,ALEMBIC ( OSTEOFID )
AXOGURD-NT TAB 10'S,Pregabalin + Nortriptyline,201.47,ALEMBIC ( OSTEOFID )
TOFASTAR OD 11MG TAB 14'S,Tofacitinib,420.00,ALEMBIC ( OSTEOFID )
Q-DMRD 200 TAB,Hydroxychloroquine,59.53,ALEMBIC ( OSTEOFID )
AXOGUARD TABS,Alpha Lipoic Acid + Methylcobalamin + Pyridoxine + Folic Acid,180.00,ALEMBIC ( OSTEOFID )
ENZICTRA TAB 10S,Trypsin + Bromelain + Rutoside,296.86,ALEMBIC ( OSTEOFID )
ENZICTRA DS TAB 10S,Trypsin + Bromelain + Rutoside,532.78,ALEMBIC ( OSTEOFID )
AXOGURD SR TAB 10S,Pregabalin + Methylcobalamin,206.81,ALEMBIC ( OSTEOFID )
COBUILT CAP 14S,Calcium + Vitamin D3 + Zinc,191.60,ALEMBIC ( OSTEOFID )
COBUILT TOTAL TAB 14S,Calcium + Vitamin D3 + Minerals,370.00,ALEMBIC ( OSTEOFID )
OSTEOFIT C PLUS CAP 10S,Calcium + Cholecalciferol + Zinc,230.44,ALEMBIC ( OSTEOFID )
OSTEOFIT-C CAP 10S,Calcium + Cholecalciferol,180.84,ALEMBIC ( OSTEOFID )
OSTEOKIT TAB 1S,Alendronic Acid + Calcium + Cholecalciferol,708.75,ALEMBIC ( OSTEOFID )
Q-DMRD 400MG TAB 10S,Hydroxychloroquine,113.77,ALEMBIC ( OSTEOFID )
OSTEOFIT MAX 10,Calcium + Cholecalciferol + Minerals,300.56,ALEMBIC ( OSTEOFID )
ETORNEXT ER TAB 10S,Etoricoxib,244.03,ALEMBIC ( OSTEOFID )
ETORNEXT P TAB 10S,Etoricoxib + Paracetamol,78.75,ALEMBIC ( OSTEOFID )
ETORNEXT TH 4MG TAB 10S,Etoricoxib + Thiocolchicoside,264.94,ALEMBIC ( OSTEOFID )
OSTEOFIT-XT CAP 10S,Calcium + Cholecalciferol + Zinc + Magnesium,235.78,ALEMBIC ( OSTEOFID )
ESOLEMBIC 40MG TAB 15'S,Esomeprazole,99.42,ALEMBIC ( OSTEOFID )
AXOGURD PLUS TAB 1*10,Alpha Lipoic Acid + Methylcobalamin + Pyridoxine + Folic Acid,206.25,ALEMBIC ( OSTEOFID )
TOFASTAR 5MG 10'S,Tofacitinib,249.38,ALEMBIC ( OSTEOFID )
TACKEL 90MG TAB 14'S,Ticagrelor,314.72,ALEMBIC (CARDIGEM)
VOAGE 10MG TAB 10'S,Dapagliflozin,133.45,ALEMBIC (CARDIGEM)
VOAGE 5MG TAB 10'S,Dapagliflozin,104.63,ALEMBIC (CARDIGEM)
BISOZIFF # T 5MG TAB 10'S,Bisoprolol + Telmisartan,121.78,ALEMBIC (CARDIGEM)
BISOZIFF # T 2.5MG TAB 10'S,Bisoprolol + Telmisartan,103.03,ALEMBIC (CARDIGEM)
TUFEHART 1000MG 20ML INJ.,Ferric Carboxymaltose,"2,717.81",ALEMBIC (CARDIGEM)
TUFEHART 500MG 10ML INJ.,Ferric Carboxymaltose,"1,780.31",ALEMBIC (CARDIGEM)
BISOZIFF 5 MG TAB 10'S 10,Bisoprolol,56.25,ALEMBIC (CARDIGEM)
ROSAVE EZ 10 CAP 10S,Rosuvastatin + Ezetimibe,240.40,ALEMBIC (CARDIGEM)
